Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
46,"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",(12075 Reviews),$999.97,15.5,Samsung,LED,70,4K
47,"Samsung 65"" 4K UHD Neo QLED Tizen Smart TV (QN65QN90BAFXZC) - Titan Black",(143 Reviews),"$2,099.99",$50,Samsung,LED,65,4K
48,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU7000FXZC) - 2023 - Titan Grey",(158 Reviews),$899.99,$40,Samsung,LED,65,4K
49,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022",(2 Reviews),$639.99,15.5,Samsung,LED,65,4K
50,"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022",(433 Reviews),"$1,199.99","$1,200",Sony,LED,55,4K
51,"Sony BRAVIA XR X95K 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X95K) - 2022",(282 Reviews),"$2,499.99",15.5,Sony,LED,65,4K
52,"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",(256 Reviews),"$1,199.99",15.5,Samsung,LED,65,4K
53,"Sony BRAVIA 85"" 4K UHD HDR LED Google TV Smart TV (XR85X90K) - 2022",(455 Reviews),"$2,799.99","$1,000",Sony,LED,85,4K
54,"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) - 2022 - Charcoal Black",(413 Reviews),"$2,999.99",15.5,Samsung,LED,75,4K
55,"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",(4381 Reviews),"$1,299.99",$200,Samsung,LED,75,4K
56,"LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",(854 Reviews),"$1,199.99",$600,LG,QNED,65,4K
57,"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022",(510 Reviews),"$3,999.99",15.5,Sony,OLED,65,4K
58,"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN88BAFXZC) - Titan Black",(4 Reviews),"$3,499.99",15.5,Samsung,LED,75,4K
59,"LG 55"" 4K UHD HDR LED webOS Smart TV Smart TV (55UP7000PUA) - 2021 - Open Box",(2071 Reviews),$689.99,$100,LG,LED,55,4K
60,"Samsung The Frame 32"" 1080p HD HDR QLED Tizen Smart TV (QN32LS03CBFXZC) - 2023",(0 Reviews),$699.99,15.5,Samsung,LED,32,1080p
61,"LG 50"" 4K UHD HDR LED webOS Smart TV (50UQ7590PUB) - 2022 - Dark Iron Grey",(26 Reviews),$649.99,$300,LG,LED,50,4K
62,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UQ7590PUB) - 2022 - Dark Iron Grey",(697 Reviews),"$1,299.99",12.2,LG,LED,75,4K
63,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43CU7000FXZC) - 2023 - Titan Grey",(130 Reviews),$549.99,$53,Samsung,LED,43,4K
64,"Open Box - Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50AU8000FXZC) - 2021",(2 Reviews),$499.99,12.2,Samsung,LED,50,4K
65,"Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",(3856 Reviews),$199.99,$285,Insignia,LED,32,720p
66,"Samsung 65"" 4K UHD OLED Tizen Smart TV (QN65S95BAFXZC) - Open Box",(5 Reviews),"$1,839.99",$245,Samsung,OLED,65,4K
67,"Open Box - Samsung 82"" 4K UHD HDR LED Tizen OS Smart TV (UN82TU7000FXZC) - 2021 - Titan Grey",(0 Reviews),"$1,199.99",NA,Samsung,LED,82,4K
68,"TCL 4-Series 50"" 4K UHD HDR LED Smart Google TV (50S446-CA) - 2021",(592 Reviews),$429.95,12.2,NA,LED,50,4K
69,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",(1586 Reviews),$499.99,15.5,LG,LED,43,4K
